"","x"
"1","99595"
"2","68469"
"3","21567"
"4","94487"
"5","23787"
"6","126848"
"7","111991"
"8","100651"
"9","123518"
"10","72591"
"11","85213"
"12","33147"
"13","70578"
"14","75783"
"15","131019"
"16","82081"
"17","64435"
"18","64457"
"19","89463"
"20","51006"
"21","24894"
"22","71599"
"23","98680"
"24","137137"
"25","115083"
"26","52069"
"27","83154"
"28","57194"
"29","102709"
"30","120382"
"31","116160"
"32","30070"
"33","74720"
"34","57190"
"35","37382"
"36","132047"
"37","79019"
"38","43771"
"39","24893"
"40","128899"
"41","76835"
"42","110987"
"43","83163"
"44","27940"
"45","30086"
"46","141832"
"47","141835"
"48","114028"
"49","72651"
"50","141875"
"51","98703"
"52","4159"
"53","39529"
"54","85265"
"55","23881"
"56","2972"
"57","93610"
"58","103766"
"59","57222"
"60","91506"
"61","125652"
"62","47892"
"63","101729"
"64","63467"
"65","91510"
"66","121461"
"67","89482"
"68","92549"
"69","121453"
"70","1085"
"71","105885"
"72","18494"
"73","129925"
"74","2803"
"75","141982"
"76","92550"
"77","48916"
"78","2366"
"79","69615"
"80","19557"
"81","135144"
"82","43781"
"83","129952"
"84","2375"
"85","137106"
"86","106889"
"87","5498"
"88","106870"
"89","84263"
"90","19551"
"91","87380"
"92","66556"
"93","97670"
"94","76863"
"95","80093"
"96","31154"
"97","48957"
"98","142132"
"99","83167"
"100","94595"
"101","114023"
"102","91513"
"103","132008"
"104","124600"
"105","57227"
"106","135165"
"107","90507"
"108","4807"
"109","18497"
"110","1324"
"111","83178"
"112","142235"
"113","136126"
"114","25953"
"115","107879"
"116","126811"
"117","18487"
"118","108934"
"119","83182"
"120","120404"
"121","17435"
"122","115102"
"123","712"
"124","93608"
"125","49991"
"126","142284"
"127","142287"
"128","77906"
"129","59327"
"130","134125"
"131","90498"
"132","75810"
"133","137115"
"134","23903"
"135","90489"
"136","38433"
"137","41700"
"138","83180"
"139","142320"
"140","125666"
"141","79062"
"142","67618"
"143","4140"
"144","64474"
"145","45804"
"146","12349"
"147","99701"
"148","53163"
"149","119294"
"150","29014"
"151","95590"
"152","51036"
"153","90515"
"154","10264"
"155","56176"
"156","130937"
"157","129897"
"158","143455"
"159","143755"
"160","144210"
"161","144782"
"162","144788"
"163","144791"
"164","145375"
"165","145383"
"166","145405"
"167","145453"
"168","145454"
"169","145455"
"170","145501"
"171","146033"
"172","146034"
"173","146087"
"174","146619"
"175","146632"
"176","146639"
"177","146642"
