"","x"
"1","114028"
"2","72651"
"3","141875"
"4","85265"
"5","23881"
"6","103766"
"7","125652"
"8","101729"
"9","121461"
"10","92549"
"11","1085"
"12","105885"
"13","92550"
"14","48916"
"15","2366"
"16","69615"
"17","19557"
"18","135144"
"19","66556"
"20","97670"
"21","76863"
"22","31154"
"23","94595"
"24","91513"
"25","124600"
"26","1324"
"27","142235"
"28","107879"
"29","18487"
"30","115102"
"31","59327"
"32","134125"
"33","90498"
"34","75810"
"35","137115"
"36","38433"
"37","41700"
"38","64474"
"39","45804"
"40","12349"
"41","99701"
"42","119294"
"43","29014"
"44","143455"
"45","144782"
"46","144788"
"47","145375"
"48","145453"
"49","145454"
"50","146034"
"51","146087"
"52","146619"
"53","146632"
"54","147244"
"55","147249"
"56","147252"
"57","147822"
"58","147831"
"59","148406"
"60","148408"
"61","149048"
"62","149057"
"63","149064"
"64","151340"
"65","151687"
"66","151697"
"67","152063"
"68","152365"
"69","152687"
"70","153254"
"71","154404"
"72","157362"
"73","157764"
"74","158195"
"75","158609"
"76","158627"
"77","158628"
"78","158634"
"79","159877"
"80","159886"
"81","160090"
"82","160378"
"83","160715"
"84","160753"
"85","160777"
"86","160835"
"87","160872"
"88","160873"
"89","160874"
"90","160885"
"91","160911"
"92","160912"
"93","161014"
"94","161118"
"95","161445"
"96","161556"
"97","161561"
"98","161563"
"99","162054"
"100","162062"
"101","162073"
"102","162082"
"103","162109"
"104","162278"
"105","162507"
"106","162869"
"107","162876"
"108","162947"
"109","163012"
"110","163016"
"111","163035"
"112","163036"
"113","163042"
"114","163246"
"115","163587"
"116","163698"
"117","163704"
"118","163713"
"119","163721"
"120","163727"
"121","163728"
"122","163733"
"123","163741"
"124","163748"
"125","163751"
"126","163987"
"127","164257"
"128","164269"
"129","164426"
"130","164437"
"131","164446"
"132","164464"
"133","164691"
"134","164736"
"135","164971"
"136","165004"
"137","165035"
"138","165046"
"139","165048"
"140","165141"
"141","165151"
"142","165165"
"143","165169"
"144","165181"
"145","165193"
"146","165195"
"147","165408"
"148","165778"
"149","165786"
"150","165918"
"151","165930"
"152","165931"
"153","166788"
"154","166805"
"155","166845"
"156","167501"
"157","167835"
"158","168340"
"159","168341"
"160","168383"
"161","168391"
"162","168401"
"163","168402"
"164","169082"
"165","169273"
"166","169274"
"167","169313"
"168","169329"
"169","169953"
"170","170049"
"171","170436"
"172","170461"
"173","170655"
"174","170850"
"175","170851"
"176","170905"
"177","171469"
"178","171719"
"179","171721"
"180","172477"
"181","172592"
"182","173754"
"183","173780"
"184","173799"
"185","173801"
"186","174217"
"187","174259"
"188","175139"
"189","175203"
"190","175215"
"191","175223"
"192","175258"
"193","175463"
"194","175466"
"195","176727"
"196","176771"
"197","177000"
"198","177197"
"199","177206"
"200","177489"
"201","178107"
"202","178183"
"203","178202"
"204","178221"
"205","178252"
"206","178253"
"207","178267"
"208","178489"
"209","178661"
"210","178865"
"211","179629"
"212","179630"
"213","179671"
"214","181085"
"215","181086"
"216","181141"
"217","181147"
"218","181248"
"219","181676"
"220","182557"
"221","182567"
"222","182585"
"223","182586"
"224","182587"
"225","182615"
"226","182621"
"227","182717"
"228","182718"
"229","183039"
"230","183970"
"231","183978"
"232","183989"
"233","184012"
"234","184013"
"235","184027"
"236","184056"
"237","184271"
"238","184272"
"239","184274"
"240","184352"
"241","184383"
"242","184430"
"243","184432"
"244","184448"
"245","184581"
"246","184617"
"247","184634"
"248","184656"
"249","184674"
"250","184693"
"251","184700"
"252","184701"
"253","184703"
"254","184756"
"255","184757"
"256","184761"
"257","184787"
"258","185145"
"259","185170"
"260","185174"
"261","185177"
"262","185212"
"263","185219"
"264","185222"
"265","185244"
"266","185267"
"267","185281"
"268","185284"
"269","185286"
"270","185296"
"271","185298"
"272","185310"
"273","185375"
"274","185377"
"275","185378"
"276","185380"
"277","185463"
"278","185476"
"279","185512"
"280","185525"
"281","185539"
"282","185540"
"283","185559"
"284","185561"
"285","185562"
"286","185580"
"287","185613"
"288","185615"
"289","185680"
"290","185691"
"291","185758"
"292","185769"
"293","185788"
"294","185808"
"295","185819"
"296","185822"
"297","185927"
"298","185929"
"299","186223"
"300","186269"
"301","186272"
"302","186280"
"303","186281"
"304","186282"
"305","186299"
"306","186300"
"307","186309"
"308","186340"
"309","186341"
"310","186342"
"311","186363"
"312","186364"
"313","186406"
"314","186421"
"315","186431"
"316","186442"
"317","186509"
"318","186512"
"319","186513"
"320","186651"
"321","186654"
"322","186688"
"323","186690"
"324","186691"
"325","186779"
"326","186788"
"327","186834"
"328","186835"
"329","186837"
"330","186844"
"331","186845"
"332","186902"
"333","186922"
"334","186968"
"335","186969"
"336","186987"
"337","187010"
"338","187043"
"339","187100"
"340","187286"
"341","187300"
"342","187341"
"343","187379"
"344","187384"
"345","187386"
"346","187387"
"347","187390"
"348","187391"
"349","187396"
"350","187397"
"351","187398"
"352","187412"
"353","187417"
"354","187424"
"355","187431"
"356","187434"
"357","187453"
"358","187460"
"359","187461"
"360","187462"
"361","187468"
"362","187499"
"363","187541"
"364","187545"
"365","187546"
"366","187551"
"367","187552"
"368","187553"
"369","187555"
"370","187556"
"371","187569"
"372","187575"
"373","187576"
"374","187586"
"375","187652"
"376","187653"
"377","187654"
"378","187781"
"379","187782"
"380","187800"
"381","187813"
"382","187830"
"383","187836"
"384","187862"
"385","187897"
"386","187904"
"387","187931"
"388","187955"
"389","187966"
"390","188016"
"391","188045"
"392","188083"
"393","188097"
"394","188109"
"395","188410"
"396","188413"
"397","188448"
"398","188495"
"399","188497"
"400","188506"
"401","188511"
"402","188518"
"403","188522"
"404","188527"
"405","188533"
"406","188534"
"407","188537"
"408","188540"
"409","188547"
"410","188563"
"411","188564"
"412","188580"
"413","188587"
"414","188588"
"415","188618"
