"","x"
"1","99595"
"2","68469"
"3","21567"
"4","94487"
"5","23787"
"6","126848"
"7","111991"
"8","100651"
"9","123518"
"10","72591"
"11","85213"
"12","33147"
"13","70578"
"14","75783"
"15","131019"
"16","82081"
"17","64435"
"18","64457"
"19","89463"
"20","51006"
"21","24894"
"22","71599"
"23","98680"
"24","137137"
"25","115083"
"26","52069"
"27","83154"
"28","57194"
"29","102709"
"30","120382"
"31","116160"
"32","30070"
"33","74720"
"34","57190"
"35","37382"
"36","132047"
"37","79019"
"38","43771"
"39","24893"
"40","128899"
"41","76835"
"42","110987"
"43","83163"
"44","27940"
"45","30086"
"46","141832"
"47","141835"
"48","98703"
"49","4159"
"50","39529"
"51","85265"
"52","2972"
"53","93610"
"54","57222"
"55","91506"
"56","47892"
"57","101729"
"58","63467"
"59","91510"
"60","89482"
"61","121453"
"62","1085"
"63","105885"
"64","18494"
"65","129925"
"66","2803"
"67","141982"
"68","2366"
"69","43781"
"70","129952"
"71","2375"
"72","137106"
"73","106889"
"74","5498"
"75","106870"
"76","84263"
"77","19551"
"78","87380"
"79","66556"
"80","97670"
"81","76863"
"82","80093"
"83","31154"
"84","48957"
"85","142132"
"86","83167"
"87","94595"
"88","114023"
"89","132008"
"90","124600"
"91","57227"
"92","135165"
"93","90507"
"94","4807"
"95","18497"
"96","1324"
"97","83178"
"98","136126"
"99","25953"
"100","126811"
"101","18487"
"102","108934"
"103","83182"
"104","120404"
"105","17435"
"106","115102"
"107","712"
"108","93608"
"109","49991"
"110","142284"
"111","142287"
"112","77906"
"113","59327"
"114","137115"
"115","23903"
"116","90489"
"117","41700"
"118","83180"
"119","142320"
"120","125666"
"121","79062"
"122","67618"
"123","4140"
"124","53163"
"125","119294"
"126","29014"
"127","95590"
"128","51036"
"129","90515"
"130","10264"
"131","56176"
"132","130937"
"133","129897"
"134","143755"
"135","144210"
"136","144782"
"137","144788"
"138","144791"
"139","145383"
"140","145405"
"141","145454"
"142","145501"
"143","146033"
"144","146034"
"145","146087"
"146","146632"
"147","147244"
"148","147252"
"149","147276"
"150","147822"
"151","147831"
"152","147897"
"153","148408"
"154","148533"
"155","149048"
"156","149057"
"157","149064"
"158","149068"
"159","149673"
"160","149683"
"161","149819"
"162","150205"
"163","150210"
"164","150534"
"165","150581"
"166","151205"
"167","151342"
"168","151344"
"169","151349"
"170","151552"
"171","151700"
"172","152056"
"173","152360"
"174","152365"
"175","152366"
"176","152379"
"177","152393"
