region,trend,slope_prob,rhat
ID100,TRUE,0.5103,1.001
ID101,FALSE,0.4994,1.005
ID102,TRUE,0.6234,1
ID103,FALSE,0.4938,1.002
ID104,TRUE,0.4971,1.01
ID105,TRUE,0.9963,1
ID106,TRUE,0.5047,1.003
ID107,TRUE,0.5114,1.296
ID108,TRUE,0.5057,1.001
ID109,TRUE,0.4989,1.001
ID110,FALSE,0.4958,1.011
ID111,TRUE,0.5007,1.005
ID112,TRUE,0.5021,1.001
ID113,TRUE,0.5025,1.021
ID114,TRUE,0.5078,1.001
ID115,TRUE,0.5035,1.004
ID116,FALSE,0.4967,1.004
ID117,FALSE,0.3203,1
ID118,TRUE,0.5004,1.002
ID119,TRUE,0.6804,1
ID12,FALSE,0.4983,1.009
ID120,TRUE,0.9391,1
ID121,TRUE,0.9537,1
ID122,TRUE,0.8525,1.163
ID123,TRUE,0.996,1.001
ID124,FALSE,0.4947,1.026
ID125,FALSE,0.4928,1
ID126,FALSE,0.5038,1.001
ID127,TRUE,0.5127,1.007
ID128,TRUE,0.5035,1.011
ID129,TRUE,0.5003,1.007
ID13,TRUE,0.4987,1.001
ID130,FALSE,0.4947,1.003
ID131,TRUE,0.5081,1.002
ID132,FALSE,0.4918,1.004
ID133,TRUE,0.5079,1.004
ID134,TRUE,0.5016,1.015
ID135,FALSE,0.3936,1
ID136,FALSE,0.4975,1.012
ID137,FALSE,0.4929,1.021
ID138,FALSE,0.1375,1
ID139,TRUE,0.7787,1.001
ID14,TRUE,0.5237,1
ID140,TRUE,0.7583,1
ID141,TRUE,0.9499,1.001
ID142,TRUE,0.9804,1
ID143,TRUE,0.5001,1.002
ID144,TRUE,0.5065,1.001
ID145,TRUE,0.5082,1
ID146,TRUE,0.5026,1.007
ID147,TRUE,0.4997,1
ID148,TRUE,0.5113,1.004
ID149,TRUE,0.5037,1.013
ID15,TRUE,0.9763,1
ID150,TRUE,0.5035,1.004
ID151,TRUE,0.4989,1.003
ID152,TRUE,0.5081,1.013
ID153,FALSE,0.4996,1.003
ID154,TRUE,0.5045,1.001
ID155,TRUE,0.5086,1.001
ID156,TRUE,0.5015,1.004
ID157,TRUE,0.9649,1
ID158,FALSE,0.1347,1
ID159,TRUE,0.9763,1
ID16,FALSE,0.4962,1.003
ID160,TRUE,0.5037,1.004
ID161,TRUE,0.6185,1.007
ID162,TRUE,0.5007,1.005
ID163,FALSE,0.4954,1.002
ID164,FALSE,0.4977,1.003
ID165,TRUE,0.5259,1.001
ID166,TRUE,0.9514,1
ID167,TRUE,0.5001,1.004
ID168,TRUE,0.9989,1
ID169,FALSE,0.4986,1.001
ID17,TRUE,0.5016,1.016
ID170,TRUE,0.5085,1.003
ID171,FALSE,0.4935,1.004
ID172,TRUE,0.5043,1.001
ID173,FALSE,0.4973,1.014
ID175,TRUE,0.4956,1.006
ID176,TRUE,0.9638,1
ID177,TRUE,0.9888,1
ID178,TRUE,0.8107,1
ID179,FALSE,0.4941,1.009
ID180,TRUE,0.5057,1.012
ID181,TRUE,0.5065,1.002
ID182,TRUE,0.9412,1.001
ID183,TRUE,0.7196,1
ID184,TRUE,0.9131,1
ID185,TRUE,0.9251,1
ID186,FALSE,0.4951,1.007
ID187,TRUE,0.5106,1.002
ID189,TRUE,0.503,1.009
ID19,TRUE,0.7793,1.001
ID190,FALSE,0.4965,1.002
ID192,TRUE,0.5037,1.005
ID193,TRUE,0.5031,1.02
ID194,TRUE,0.9652,1.002
ID195,TRUE,0.9478,1.001
ID196,TRUE,0.8335,1
ID197,TRUE,0.5015,1.002
ID198,TRUE,0.5021,1
ID199,TRUE,0.5023,1.001
ID2,FALSE,0.4989,1.008
ID20,TRUE,0.9886,1
ID200,TRUE,0.4999,1.001
ID201,FALSE,0.4989,1.004
ID203,FALSE,0.4947,1.001
ID205,TRUE,0.4963,1.012
ID206,FALSE,0.4952,1.007
ID23,TRUE,0.4971,1.003
ID24,FALSE,0.4954,1.006
ID25,FALSE,0.5022,1.002
ID26,FALSE,0.5021,1.004
ID27,TRUE,0.9869,1
ID28,TRUE,0.9632,1.001
ID29,TRUE,0.6841,1
ID30,TRUE,0.7854,1
ID31,TRUE,0.9191,1
ID32,TRUE,0.7949,1
ID33,TRUE,0.7789,1.001
ID35,FALSE,0.4965,1.003
ID36,FALSE,0.5017,1.006
ID37,TRUE,0.5049,1.004
ID38,TRUE,0.5019,1.006
ID39,TRUE,0.5007,1.151
ID40,TRUE,0.7583,1
ID41,TRUE,0.9945,1
ID42,TRUE,0.5931,1.578
ID43,TRUE,0.5037,1.001
ID44,TRUE,0.5024,1.009
ID45,TRUE,0.5033,1.001
ID46,TRUE,0.551,1.019
ID47,TRUE,0.9771,1
ID50,TRUE,0.968,1.001
ID51,TRUE,1,1
ID52,TRUE,0.4979,1.003
ID53,TRUE,0.9981,1.001
ID54,TRUE,0.5139,1.001
ID55,TRUE,0.5002,1.009
ID56,TRUE,0.9803,1.001
ID57,TRUE,0.9782,1.002
ID58,TRUE,0.9891,1.001
ID59,TRUE,0.995,1
ID6,FALSE,0.4949,1.001
ID60,TRUE,0.6275,1
ID61,TRUE,0.5023,1.003
ID62,TRUE,0.5014,1.007
ID63,TRUE,0.5467,1.365
ID64,TRUE,0.7323,1
ID67,TRUE,0.9829,1
ID68,TRUE,0.6123,1
ID69,FALSE,0.4988,1.004
ID70,TRUE,0.5154,1.001
ID71,FALSE,0.5018,1
ID72,TRUE,0.9089,1.001
ID73,TRUE,0.4999,1.001
ID74,TRUE,0.9764,1
ID75,TRUE,0.9986,1.001
ID76,TRUE,0.9989,1
ID77,TRUE,0.5103,1.003
ID78,TRUE,0.5005,1.064
ID79,FALSE,0.4989,1.006
ID8,TRUE,0.5006,1.001
ID80,TRUE,0.8397,1.012
ID81,TRUE,0.6075,1.145
ID82,TRUE,0.9625,1
ID83,TRUE,0.5023,1.011
ID84,TRUE,0.5121,1.025
ID85,FALSE,0.1553,1
ID86,TRUE,0.514,1.001
ID87,FALSE,0.4964,1.002
ID88,TRUE,0.5065,1.008
ID89,FALSE,0.4997,1.009
ID9,TRUE,0.721,1
ID90,TRUE,0.5038,1.04
ID91,FALSE,0.4912,1.001
ID92,FALSE,0.4999,1.002
ID93,TRUE,0.9998,1
ID94,TRUE,0.4997,1.002
ID95,FALSE,0.488,1.003
ID96,TRUE,0.9823,1
ID97,TRUE,0.5061,1
ID98,TRUE,0.5073,1.01
ID99,FALSE,0.4955,1.024
