"","Year","ZoneTotalBurned_ha","ZoneTotalBurned_pct","ZoneTotalBurned_ha_cum","ZoneTotalBurned_pct_cum","WholeFire_ha","nTotalFires","wildfire_ha","wildfire_pct","wildfire_ha_cum","wildfire_pct_cum","wildfire_IgDate","Wholewildfire_ha","nWildfires","Rxfire_ha","Rxfire_pct","Rxfire_ha_cum","Rxfire_pct_cum","Rxfire_IgDate","WholeRxfire_ha","nRxfires","WLFU_ha","WLFU_pct","WLFU_ha_cum","WLFU_pct_cum","WLFU_IgDate","WholeWLFU_ha","nWLFUfires","unknown_fire_ha","unknown_fire_pct","unknown_fire_ha_cum","unknown_fire_pct_cum","unknown_fire_IgDate","Wholeunknown_fire_ha","nUnknownfires"
"1",1984,118.576398913304,0.142442416844083,118.576398913304,0.142442416844083,1339.915346,1,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,118.576398913304,0.142442416844083,118.576398913304,0.142442416844083,"1984/12/24",1339.915346,1
"2",1985,54.7291374408028,0.0657445383761375,173.305536354107,0.20818695522022,641.42731,1,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,54.7291374408028,0.0657445383761375,173.305536354107,0.20818695522022,"1985/01/09",641.42731,1
"3",1986,210.007431305394,0.252275885796036,383.312967659501,0.460462841016256,345.601844,1,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,210.007431305394,0.252275885796036,383.312967659501,0.460462841016256,"1986/01/28",345.601844,1
"4",1987,0,0,383.312967659501,0.460462841016256,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,383.312967659501,0.460462841016256,"0",0,0
"5",1988,0,0,383.312967659501,0.460462841016256,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,383.312967659501,0.460462841016256,"0",0,0
"6",1989,0,0,383.312967659501,0.460462841016256,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,383.312967659501,0.460462841016256,"0",0,0
"7",1990,0,0,383.312967659501,0.460462841016256,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,383.312967659501,0.460462841016256,"0",0,0
"8",1991,574.450096023988,0.690070374744626,957.763063683489,1.15053321576088,5994.209032,2,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,574.450096023988,0.690070374744626,957.763063683489,1.15053321576088,"1991/02/11",5994.209032,2
"9",1992,0,0,957.763063683489,1.15053321576088,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,957.763063683489,1.15053321576088,"0",0,0
"10",1993,0,0,957.763063683489,1.15053321576088,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,957.763063683489,1.15053321576088,"0",0,0
"11",1994,0,0,957.763063683489,1.15053321576088,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,957.763063683489,1.15053321576088,"0",0,0
"12",1995,0,0,957.763063683489,1.15053321576088,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,957.763063683489,1.15053321576088,"0",0,0
"13",1996,0,0,957.763063683489,1.15053321576088,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,957.763063683489,1.15053321576088,"0",0,0
