"","state","nLakes","BurnedLakes","BurnedLakes_WF","BurnedLakes_Rx","PropBurned","PropBurned_WF","PropBurned_Rx","OverallRank","WildfireRank","RxRank"
"1","Alabama",2908,98,40,62,0.0337001375515818,0.0137551581843191,0.0213204951856946,25,28,14
"2","Arizona",372,100,85,17,0.268817204301075,0.228494623655914,0.0456989247311828,2,2,5
"3","Arkansas",3207,66,17,47,0.0205799812909261,0.00530090427190521,0.0146554412223262,32,37,16
"4","California",3464,518,493,25,0.149538106235566,0.142321016166282,0.00721709006928406,8,5,21
"5","Colorado",1788,76,74,1,0.0425055928411633,0.0413870246085011,0.000559284116331096,22,20,36
"6","Connecticut",807,0,0,0,0,0,0,46,45,42.5
"7","Delaware",201,6,6,0,0.0298507462686567,0.0298507462686567,0,27,22,42.5
"8","Florida",10076,1917,1013,949,0.19025406907503,0.100535926955141,0.0941842000793966,5,10,2
"9","Georgia",5662,440,371,122,0.0777110561638997,0.0655245496291063,0.0215471564818085,17,15,12
"10","Idaho",964,311,296,7,0.322614107883817,0.307053941908714,0.00726141078838174,1,1,20
"11","Illinois",3106,6,0,6,0.00193174500965873,0,0.00193174500965873,39,45,30
"12","Indiana",3152,4,4,0,0.00126903553299492,0.00126903553299492,0,40,39,42.5
"13","Iowa",907,1,0,1,0.00110253583241455,0,0.00110253583241455,43,45,35
"14","Kansas",1804,484,74,272,0.268292682926829,0.041019955654102,0.150776053215078,3,21,1
"15","Kentucky",1075,69,50,6,0.0641860465116279,0.0465116279069767,0.00558139534883721,20,18,24
"16","Louisiana",7241,266,120,156,0.0367352575611103,0.0165722966441099,0.0215439856373429,24,27,13
"17","Maine",2695,3,3,0,0.00111317254174397,0.00111317254174397,0,42,41,42.5
"18","Maryland",332,29,21,19,0.0873493975903614,0.0632530120481928,0.0572289156626506,14,16,4
"19","Massachusetts",1648,2,2,0,0.00121359223300971,0.00121359223300971,0,41,40,42.5
"20","Michigan",6722,137,119,23,0.0203808390360012,0.0177030645641178,0.00342160071407319,33,26,26
"21","Minnesota",14516,736,613,149,0.0507026729126481,0.0422292642601268,0.0102645356847616,21,19,18
"22","Mississippi",3475,146,46,101,0.0420143884892086,0.0132374100719424,0.0290647482014388,23,30,9
"23","Missouri",1986,20,14,3,0.0100704934541793,0.00704934541792548,0.00151057401812689,34,35,34
"24","Montana",3288,370,348,7,0.112530413625304,0.105839416058394,0.00212895377128954,11,9,29
"25","Nebraska",2942,76,67,7,0.0258327668252889,0.0227736233854521,0.00237933378653977,28,24,28
"26","Nevada",381,93,82,17,0.244094488188976,0.215223097112861,0.0446194225721785,4,3,6
"27","New Hampshire",1119,0,0,0,0,0,0,46,45,42.5
"28","New Jersey",1165,106,82,43,0.0909871244635193,0.0703862660944206,0.0369098712446352,13,13,7
"29","New Mexico",369,38,34,9,0.102981029810298,0.0921409214092141,0.024390243902439,12,11,10
"30","New York",4466,42,42,0,0.00940438871473354,0.00940438871473354,0,36,33,42.5
"31","North Carolina",1405,47,37,10,0.0334519572953737,0.0263345195729537,0.00711743772241993,26,23,22
"32","North Dakota",6365,138,87,51,0.021681068342498,0.013668499607227,0.00801256873527101,31,29,19
"33","Ohio",1463,0,0,0,0,0,0,46,45,42.5
"34","Oklahoma",2638,415,285,80,0.157316148597422,0.108036391205459,0.0303260045489007,7,8,8
"35","Oregon",1672,271,253,29,0.162081339712919,0.151315789473684,0.0173444976076555,6,4,15
"36","Pennsylvania",1756,5,5,0,0.00284738041002278,0.00284738041002278,0,38,38,42.5
"37","Rhode Island",252,0,0,0,0,0,0,46,45,42.5
"38","South Carolina",1649,124,18,99,0.0751970891449363,0.0109157064887811,0.0600363856882959,18,31,3
"39","South Dakota",3680,82,66,16,0.0222826086956522,0.0179347826086957,0.00434782608695652,29,25,25
"40","Tennessee",1049,23,10,3,0.0219256434699714,0.00953288846520496,0.00285986653956149,30,32,27
"41","Texas",10158,700,570,243,0.0689112029927151,0.0561134081512109,0.0239220318960425,19,17,11
"42","Utah",952,83,73,10,0.0871848739495798,0.0766806722689076,0.0105042016806723,15,12,17
"43","Vermont",522,0,0,0,0,0,0,46,45,42.5
"44","Virginia",1627,15,11,3,0.00921942224953903,0.00676090964966195,0.00184388444990781,37,36,33
"45","Washington",2096,291,286,4,0.138835877862595,0.136450381679389,0.00190839694656489,10,6,32
"46","West Virginia",214,17,15,0,0.0794392523364486,0.0700934579439252,0,16,14,42.5
"47","Wisconsin",6215,60,50,12,0.00965406275140788,0.0080450522928399,0.00193081255028158,35,34,31
"48","Wyoming",1811,258,211,12,0.14246272777471,0.116510215350635,0.00662617338487024,9,7,23
